Frame,Class ID,X1,Y1,X2,Y2
2295,38,361,435,462,520
2295,60,319,541,1422,920
2295,32,1369,566,1400,581
2295,60,307,522,1443,698
2296,38,361,433,462,523
2296,32,1390,563,1423,580
2296,60,327,535,1293,924
2296,60,297,527,1421,698
2296,60,886,548,1429,936
2297,32,1413,562,1445,577
2297,60,327,536,1296,923
2297,38,362,437,462,521
2297,60,308,523,1438,704
2297,38,1848,737,1920,791
2297,60,839,536,1422,937
2298,32,1435,560,1468,576
2298,60,326,537,1291,924
2298,38,358,432,461,519
2298,60,842,535,1418,937
2298,60,304,525,1440,698
2298,38,1842,720,1914,774
2299,60,303,524,1421,917
2299,38,1814,696,1894,762
2299,60,304,524,1446,693
2299,60,838,535,1422,936
2299,32,1459,559,1488,573
2299,38,357,433,465,521
2299,32,1822,701,1883,754
2300,60,327,533,1290,924
2300,60,308,523,1434,696
2300,60,843,535,1424,935
2300,38,359,435,465,521
2300,32,1482,559,1507,573
2300,38,1777,675,1869,740
2301,60,310,517,1127,930
2301,60,317,533,1438,753
2301,60,845,536,1425,936
2301,38,1716,654,1822,742
2301,38,355,444,463,518
2301,60,302,526,995,685
2301,32,1728,673,1793,730
2302,60,316,521,1112,932
2302,60,848,534,1423,936
2302,60,302,523,1445,698
2302,38,352,433,462,520
2303,60,327,534,1296,926
2303,60,307,522,1447,699
2303,60,849,535,1426,936
2303,38,343,438,464,521
2304,60,329,533,1299,927
2304,60,845,536,1428,937
2304,60,264,530,1439,736
2304,60,304,525,999,684
2305,60,309,521,1097,922
2305,60,841,535,1430,938
2305,60,299,525,1438,698
2306,60,320,521,1108,933
2306,60,847,535,1428,938
2306,60,282,528,1436,698
2306,38,367,675,423,699
2307,60,308,524,1425,913
2307,60,845,534,1422,938
2307,60,303,523,1444,701
2307,38,1559,539,1668,733
2308,60,316,525,1437,911
2308,60,849,534,1423,937
2308,38,1554,561,1663,743
2308,60,296,522,1442,700
2309,60,319,536,1427,923
2309,60,287,527,1428,696
2309,38,1592,652,1668,752
2309,32,1560,569,1596,605
2309,38,1593,574,1650,757
2310,60,332,532,1298,927
2310,60,302,522,1435,702
2310,60,850,535,1418,937
2310,38,354,673,425,699
2311,60,308,519,1088,921
2311,60,846,537,1420,936
2311,60,291,528,1414,693
2312,60,320,520,1110,934
2312,60,840,539,1421,936
2312,60,288,528,1426,698
2312,38,1322,390,1586,677
2313,60,312,516,1136,931
2313,60,835,538,1420,937
2313,60,277,528,1403,701
2313,32,1518,533,1561,566
2313,38,339,674,418,699
2314,32,1303,407,1372,485
2314,60,324,522,1100,935
2314,60,835,539,1422,936
2314,60,301,529,1424,740
2314,38,317,466,369,519
2314,38,331,674,412,699
2315,60,312,515,1133,930
2315,60,841,535,1421,936
2315,60,277,529,1420,699
2315,38,211,435,359,534
