Event frame,Sequence frame,Class ID,Score,Bboxes
5210,0,38,0.8426773548126221,"[1335.261474609375, 596.095703125, 1417.7928466796875, 646.5603637695312]"
5210,0,32,0.767769992351532,"[522.9224853515625, 660.706787109375, 549.4474487304688, 683.3646850585938]"
5210,0,60,0.19561658799648285,"[414.1744079589844, 615.166015625, 1401.3929443359375, 918.9244995117188]"
5210,0,60,0.09774790704250336,"[410.63397216796875, 642.8604736328125, 999.6378173828125, 1008.8292846679688]"
5210,0,60,0.053151216357946396,"[450.55877685546875, 708.3430786132812, 801.9496459960938, 1013.37841796875]"
5210,0,60,0.045542337000370026,"[853.2572021484375, 715.792724609375, 1409.75, 1003.9802856445312]"
5210,0,32,0.04209619015455246,"[521.050048828125, 661.2454223632812, 542.50927734375, 676.2118530273438]"
5210,0,32,0.0374126210808754,"[524.955810546875, 668.9813232421875, 544.943359375, 691.3523559570312]"
5210,0,38,0.022823166102170944,"[1576.2470703125, 487.5740661621094, 1629.5003662109375, 547.91455078125]"
5210,0,38,0.018764151260256767,"[1365.2449951171875, 618.7730712890625, 1414.966796875, 645.3148803710938]"
5210,0,32,0.018582213670015335,"[506.0557861328125, 653.0045776367188, 547.0560913085938, 679.81787109375]"
5210,0,38,0.017310865223407745,"[506.495849609375, 466.51947021484375, 556.7819213867188, 536.5775756835938]"
5210,0,32,0.015246373601257801,"[508.78045654296875, 467.55010986328125, 555.8975219726562, 533.68994140625]"
5210,0,32,0.011134856380522251,"[527.4903564453125, 677.31689453125, 543.2709350585938, 691.1968994140625]"
5356,0,32,0.8858879208564758,"[151.10507202148438, 584.82421875, 166.47509765625, 600.137451171875]"
5356,0,38,0.7550055980682373,"[1545.2181396484375, 570.218994140625, 1599.779541015625, 636.647216796875]"
5356,0,38,0.4422849714756012,"[119.79534912109375, 558.2144165039062, 203.9566650390625, 615.4891357421875]"
5356,0,38,0.3028390109539032,"[363.8619384765625, 540.0684814453125, 438.9989318847656, 587.419677734375]"
5356,0,60,0.1805524230003357,"[400.42218017578125, 609.9797973632812, 1436.4759521484375, 1005.5076293945312]"
5356,0,38,0.08884165436029434,"[1547.1009521484375, 573.2257690429688, 1639.8465576171875, 644.7651977539062]"
5356,0,32,0.07074306160211563,"[151.1143798828125, 578.6399536132812, 169.54205322265625, 595.6435546875]"
5356,0,32,0.0513075515627861,"[149.8241424560547, 583.2807006835938, 179.3493194580078, 602.7869873046875]"
