Path,Type,Event frame,Sequence frame,Player_1 keypoints,Player_2 keypoints,people boxes,racket boxes,table boxes,ball boxes
videos/game_1.mp4,empty_event,58,-2,"[[213.4553985595703, 400.9206237792969, 1.2056138515472412], [219.20033264160156, 387.970458984375, 2.5873148441314697], [199.09307861328125, 390.8482666015625, 1.6630399227142334], [227.81773376464844, 387.970458984375, 0.4780352711677551], [166.0596923828125, 392.28717041015625, 0.980438232421875], [242.18006896972656, 425.38201904296875, 0.3853132128715515], [133.02630615234375, 436.8932800292969, 0.3129774034023285], [292.4482727050781, 464.2325134277344, 0.7426730990409851], [81.32189178466797, 504.52191162109375, 0.4215819835662842], [342.7164306640625, 504.52191162109375, 0.8380668759346008], [42.543582916259766, 560.6392822265625, 0.5475670695304871], [232.12643432617188, 563.51708984375, 0.3175339102745056], [161.75099182128906, 572.1505126953125, 0.28551048040390015], [296.7569580078125, 638.3402099609375, 0.7061923742294312], [191.91189575195312, 669.9962158203125, 0.930764377117157], [302.50189208984375, 710.2855834960938, 0.7785588502883911], [180.42202758789062, 806.6923828125, 0.6001151204109192]]","[[1337.718017578125, 394.98455810546875, 2.271639108657837], [1350.64404296875, 384.9217529296875, 2.926218032836914], [1337.718017578125, 383.4842224121094, 1.4080067873001099], [1387.986083984375, 397.8596496582031, 2.0775673389434814], [1337.718017578125, 386.3592834472656, 0.36450502276420593], [1446.8717041015625, 455.36151123046875, 0.28746283054351807], [1344.899169921875, 452.4864501953125, 0.30842912197113037], [1511.5023193359375, 507.1131896972656, 0.7166759371757507], [1286.0135498046875, 474.04962158203125, 0.5782390236854553], [1541.6632080078125, 584.7406616210938, 1.328368067741394], [1227.1279296875, 463.9867858886719, 0.3367505967617035], [1475.596435546875, 596.2410278320312, 0.2824374735355377], [1409.5296630859375, 593.365966796875, 0.29072874784469604], [1485.650146484375, 722.7451171875, 0.6967765688896179], [1329.1004638671875, 663.8056640625, 0.1711421012878418], [1557.4617919921875, 826.2483520507812, 0.4932821989059448], [1314.73828125, 764.4338989257812, 0.612127959728241]]",[],"[([315.0, 515.0, 1116.0, 928.0], 0.4711929261684418), ([269.0, 525.0, 1393.0, 702.0], 0.2642731964588165), ([887.0, 540.0, 1409.0, 937.0], 0.1885946542024612), ([860.0, 534.0, 1426.0, 686.0], 0.016838651150465), ([309.0, 539.0, 997.0, 678.0], 0.0149451373144984), ([377.0, 636.0, 898.0, 915.0], 0.0117404097691178)]",[],[]
videos/game_1.mp4,empty_event,58,-1,"[[207.7718048095703, 405.79339599609375, 1.1002182960510254], [216.38279724121094, 391.3976745605469, 3.687647581100464], [193.420166015625, 392.83721923828125, 1.2005829811096191], [223.55865478515625, 389.9580993652344, 0.5223249197006226], [161.84649658203125, 392.83721923828125, 0.9449326992034912], [236.4751434326172, 428.8265380859375, 0.3993464708328247], [130.2728271484375, 437.4639587402344, 0.31753990054130554], [293.8818054199219, 460.4971008300781, 0.638510525226593], [84.3475112915039, 495.04681396484375, 0.33034858107566833], [346.9829406738281, 503.6842346191406, 0.5983335375785828], [44.1628532409668, 545.4318237304688, 0.40340447425842285], [230.73446655273438, 565.5858764648438, 0.2804670035839081], [160.41131591796875, 574.2232666015625, 0.26786452531814575], [296.75213623046875, 641.8831176757812, 0.6339002847671509], [189.11463928222656, 670.674560546875, 0.8655204772949219], [301.0576171875, 709.54296875, 0.8166849613189697], [181.93882751464844, 805.9943237304688, 0.4972631633281708]]","[[1339.384521484375, 388.9363708496094, 3.1047680377960205], [1353.7447509765625, 380.3128662109375, 1.6484097242355347], [1340.820556640625, 377.4383544921875, 1.3947440385818481], [1389.64501953125, 394.6853942871094, 0.9808467030525208], [1391.0810546875, 393.2481689453125, 0.5822589993476868], [1451.3936767578125, 450.73834228515625, 0.37368977069854736], [1346.5645751953125, 450.73834228515625, 0.3615483343601227], [1511.7064208984375, 503.9167785644531, 0.7767918705940247], [1294.8680419921875, 472.29718017578125, 0.9338098168373108], [1541.8626708984375, 577.216796875, 1.0514494180679321], [1223.067138671875, 463.67364501953125, 0.29369932413101196], [1478.677978515625, 595.901123046875, 0.25971972942352295], [1414.057373046875, 591.58935546875, 0.3565855622291565], [1488.7301025390625, 719.5050048828125, 0.8599228262901306], [1332.2044677734375, 670.6383666992188, 0.24017104506492615], [1561.9669189453125, 833.0482177734375, 0.6281686425209045], [1313.5362548828125, 764.0599365234375, 0.46210119128227234]]",[],"[([314.0, 515.0, 1114.0, 928.0], 0.437455266714096), ([830.0, 537.0, 1402.0, 936.0], 0.3387776017189026), ([270.0, 527.0, 1398.0, 699.0], 0.2294875681400299), ([856.0, 533.0, 1423.0, 686.0], 0.0227534212172031), ([308.0, 540.0, 995.0, 677.0], 0.011590545065701), ([377.0, 637.0, 900.0, 915.0], 0.010560761205852)]",[],[]
videos/game_1.mp4,empty_event,58,0,"[[202.57867431640625, 409.8140563964844, 1.6212012767791748], [209.7638702392578, 395.41796875, 1.5261504650115967], [186.771240234375, 399.7367858886719, 1.0138739347457886], [216.94906616210938, 392.53875732421875, 0.7019683718681335], [153.71934509277344, 399.7367858886719, 0.7610384821891785], [232.75650024414062, 429.968505859375, 0.33774954080581665], [124.97857666015625, 438.60614013671875, 0.31568601727485657], [291.6750793457031, 460.20025634765625, 0.8112657070159912], [83.304443359375, 488.9923400878906, 0.25452664494514465], [344.84552001953125, 499.0696105957031, 0.8936746716499329], [33.00807571411133, 548.0161743164062, 0.24371106922626495], [231.3194580078125, 566.7310791015625, 0.29503050446510315], [158.0304718017578, 575.3687133789062, 0.26775315403938293], [298.86029052734375, 641.590576171875, 0.6060185432434082], [186.771240234375, 671.8223266601562, 0.6696693301200867], [303.17138671875, 710.6917114257812, 0.8279457688331604], [181.02308654785156, 807.145263671875, 0.43451282382011414]]","[[1342.7581787109375, 385.0376892089844, 1.6175849437713623], [1354.2713623046875, 374.96014404296875, 2.358510732650757], [1345.636474609375, 372.0808410644531, 1.1839165687561035], [1391.688720703125, 387.9169921875, 1.2039004564285278], [1393.1279296875, 387.9169921875, 0.6553360223770142], [1452.1324462890625, 446.9425964355469, 0.3892107605934143], [1351.39306640625, 446.9425964355469, 0.3221643567085266], [1516.8934326171875, 497.3303527832031, 0.6729351282119751], [1301.0233154296875, 471.4166259765625, 0.7395557761192322], [1544.2369384765625, 573.6317138671875, 1.144124984741211], [1233.384033203125, 469.97698974609375, 0.978420078754425], [1478.0367431640625, 592.34716796875, 0.2722522020339966], [1411.836669921875, 590.9075317382812, 0.383773535490036], [1493.8671875, 719.0363159179688, 0.8596688508987427], [1337.001708984375, 668.6486206054688, 0.254040390253067], [1561.506591796875, 831.3289794921875, 0.6805528998374939], [1313.9754638671875, 763.66552734375, 0.47365424036979675]]",[],"[([287.0, 540.0, 1456.0, 924.0], 0.5159845948219299), ([829.0, 537.0, 1400.0, 936.0], 0.2447980195283889), ([268.0, 528.0, 1393.0, 700.0], 0.2264368683099746), ([874.0, 535.0, 1421.0, 686.0], 0.0216324646025896), ([357.0, 495.0, 886.0, 927.0], 0.0163037180900573), ([306.0, 541.0, 1001.0, 677.0], 0.0148521214723587)]",[],[]
videos/game_1.mp4,empty_event,58,1,"[[194.40843200683594, 412.859375, 1.3264555931091309], [204.46121215820312, 397.0576171875, 1.340123176574707], [180.0472869873047, 401.3671875, 1.5378048419952393], [213.077880859375, 395.6211242675781, 0.5718362927436829], [147.0166778564453, 402.8037109375, 0.9059896469116211], [227.43902587890625, 427.224609375, 0.30272963643074036], [126.91110229492188, 435.8437805175781, 0.320200651884079], [292.0641174316406, 455.95513916015625, 0.5301722288131714], [92.44438934326172, 473.1933898925781, 0.2853848338127136], [345.2002868652344, 494.74127197265625, 0.52878737449646], [66.59435272216797, 504.79693603515625, 0.32148876786231995], [231.7473602294922, 569.4404907226562, 0.28192198276519775], [158.50559997558594, 578.0596313476562, 0.24939003586769104], [299.2446594238281, 641.2667236328125, 0.6198632717132568], [185.791748046875, 674.3067626953125, 0.7719109058380127], [303.5530090332031, 708.7833251953125, 0.6248189210891724], [180.0472869873047, 807.9035034179688, 0.5574246048927307]]","[[1345.493896484375, 381.7853698730469, 2.283778190612793], [1359.8631591796875, 373.1589660644531, 3.131757974624634], [1346.9307861328125, 370.2834777832031, 1.0511122941970825], [1395.7864990234375, 384.6607971191406, 2.607067823410034], [1397.223388671875, 384.6607971191406, 0.6812587976455688], [1454.70068359375, 439.294677734375, 0.30280086398124695], [1351.2415771484375, 440.732421875, 0.35441896319389343], [1519.362548828125, 489.6153564453125, 0.9154999852180481], [1305.259765625, 476.6757507324219, 0.6583213210105896], [1542.353515625, 570.12841796875, 1.0755281448364258], [1240.597900390625, 470.9248352050781, 0.5038642287254333], [1476.254638671875, 591.6943969726562, 0.26829758286476135], [1411.5926513671875, 591.6943969726562, 0.35990023612976074], [1496.3717041015625, 718.2149047851562, 0.8975124359130859], [1338.3092041015625, 669.33203125, 0.22931359708309174], [1562.470458984375, 828.92041015625, 0.7047529220581055], [1313.88134765625, 762.78466796875, 0.4398898482322693]]",[],"[([289.0, 541.0, 1453.0, 923.0], 0.4682110548019409), ([827.0, 538.0, 1404.0, 936.0], 0.2697170674800873), ([259.0, 528.0, 1407.0, 698.0], 0.1892199218273162), ([866.0, 535.0, 1424.0, 688.0], 0.0222380124032497), ([375.0, 634.0, 889.0, 915.0], 0.0153298284858465)]",[],[]
videos/game_1.mp4,empty_event,58,2,"[[188.69944763183594, 415.40570068359375, 1.456720232963562], [197.33941650390625, 401.0270080566406, 1.5890042781829834], [174.2995147705078, 405.3406066894531, 1.2829262018203735], [204.53936767578125, 399.589111328125, 0.44395363330841064], [141.17967224121094, 406.7784729003906, 0.7693684697151184], [220.37930297851562, 428.34649658203125, 0.3374388515949249], [115.25979614257812, 445.6009216308594, 0.28447678685188293], [289.4989929199219, 457.1038513183594, 0.5699396133422852], [74.93997955322266, 491.6127014160156, 0.1544809341430664], [352.85870361328125, 494.48846435546875, 0.5234007239341736], [28.860185623168945, 534.748779296875, 0.10738176107406616], [229.01927185058594, 570.6954956054688, 0.2741890251636505], [155.57960510253906, 579.32275390625, 0.2511668801307678], [299.5789489746094, 644.0267944335938, 0.5313980579376221], [182.93948364257812, 675.659912109375, 0.690570592880249], [302.45892333984375, 705.8551635742188, 0.6628407835960388], [181.49949645996094, 807.94384765625, 0.49841177463531494]]","[[1347.68505859375, 376.8837890625, 1.9654204845428467], [1360.6103515625, 366.81695556640625, 1.88341224193573], [1350.557373046875, 365.37884521484375, 1.610673189163208], [1400.822265625, 378.3218994140625, 1.6141877174377441], [1400.822265625, 378.3218994140625, 0.4701939523220062], [1456.8316650390625, 438.722900390625, 0.27933362126350403], [1351.9935302734375, 438.722900390625, 0.4041210412979126], [1521.4580078125, 484.74273681640625, 0.600496768951416], [1308.9093017578125, 481.8664855957031, 0.6760769486427307], [1544.436279296875, 565.27734375, 0.9783723950386047], [1245.7191162109375, 473.2377624511719, 0.46266910433769226], [1478.373779296875, 589.7254028320312, 0.2531799077987671], [1413.74755859375, 588.2872924804688, 0.37561070919036865], [1499.9158935546875, 716.2799072265625, 0.8359495997428894], [1337.632080078125, 674.5744018554688, 0.17362844944000244], [1563.1060791015625, 824.1387939453125, 0.5893110632896423], [1311.7816162109375, 766.6140747070312, 0.3904188573360443]]",[],"[([289.0, 538.0, 1450.0, 924.0], 0.4735966920852661), ([843.0, 539.0, 1408.0, 935.0], 0.2666357755661011), ([295.0, 524.0, 1437.0, 713.0], 0.2344547510147094), ([863.0, 536.0, 1427.0, 689.0], 0.0173526313155889), ([378.0, 638.0, 911.0, 915.0], 0.0134071558713912)]",[],[]
videos/game_1.mp4,empty_event,181,-2,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1560.9222412109375, 377.37274169921875, 0.3851352632045746], [1560.9222412109375, 368.7447509765625, 0.49785736203193665], [1560.9222412109375, 368.7447509765625, 0.2795989513397217], [1569.5523681640625, 370.1827697753906, 0.556150496006012], [1617.017578125, 374.4967346191406, 0.32907578349113464], [1581.05908203125, 414.7607421875, 0.3188634514808655], [1652.9761962890625, 429.1407470703125, 0.2344500869512558], [1583.935791015625, 476.5947570800781, 0.5797842741012573], [1703.3182373046875, 495.2887268066406, 0.5527514815330505], [1546.538818359375, 557.1226806640625, 0.5258119106292725], [1732.085205078125, 558.5607299804688, 0.6328322887420654], [1611.2642822265625, 575.8167114257812, 0.20193709433078766], [1663.044677734375, 575.8167114257812, 0.17280268669128418], [1522.0869140625, 673.6007080078125, 0.6542739272117615], [1596.880859375, 640.5266723632812, 0.3371325135231018], [1532.1553955078125, 792.9547119140625, 0.4755072593688965], [1595.4425048828125, 746.9386596679688, 0.613541841506958]]",[],"[([310.0, 514.0, 1146.0, 930.0], 0.4622345268726349), ([860.0, 534.0, 1409.0, 937.0], 0.2597507238388061), ([304.0, 525.0, 1433.0, 707.0], 0.1909792572259903), ([358.0, 635.0, 891.0, 916.0], 0.0130891697481274)]",[],[]
videos/game_1.mp4,empty_event,181,-1,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1564.92822265625, 381.4115905761719, 0.41896262764930725], [1564.92822265625, 371.3321533203125, 0.49064162373542786], [1566.36181640625, 371.3321533203125, 0.3013746738433838], [1572.0965576171875, 372.7720642089844, 0.6923507452011108], [1620.8421630859375, 374.21197509765625, 0.3404368460178375], [1583.566162109375, 415.9696044921875, 0.31715691089630127], [1655.2509765625, 433.24859619140625, 0.32922104001045227], [1583.566162109375, 479.32598876953125, 0.5993370413780212], [1705.4302978515625, 496.60498046875, 0.4794904589653015], [1547.7236328125, 551.3218994140625, 0.4904128611087799], [1736.9715576171875, 558.521484375, 0.6919000744819641], [1607.9388427734375, 577.2404174804688, 0.1963644176721573], [1659.552001953125, 577.2404174804688, 0.16238780319690704], [1520.483642578125, 672.2749633789062, 0.6413865685462952], [1596.469482421875, 640.5968017578125, 0.2322317659854889], [1533.38671875, 791.7882080078125, 0.4611280858516693], [1596.469482421875, 747.1507568359375, 0.5388853549957275]]",[],"[([316.0, 542.0, 1451.0, 928.0], 0.3974879682064056), ([856.0, 535.0, 1413.0, 937.0], 0.2994896471500397), ([308.0, 524.0, 1439.0, 699.0], 0.1959036290645599), ([378.0, 638.0, 880.0, 915.0], 0.0191225688904523), ([856.0, 535.0, 1441.0, 687.0], 0.0130641954019665)]",[],[]
videos/game_1.mp4,empty_event,181,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1565.7313232421875, 381.03997802734375, 0.44182854890823364], [1565.7313232421875, 372.4017333984375, 0.5054185390472412], [1567.1707763671875, 370.9620361328125, 0.2705433666706085], [1574.3685302734375, 375.2811584472656, 0.5439062118530273], [1621.87353515625, 378.16058349609375, 0.39089974761009216], [1581.56640625, 419.9120788574219, 0.28653255105018616], [1656.4224853515625, 432.86944580078125, 0.32379090785980225], [1581.56640625, 483.2591857910156, 0.5811677575111389], [1706.806640625, 499.095947265625, 0.4377079904079437], [1547.0172119140625, 549.4857177734375, 0.5182338953018188], [1737.0369873046875, 556.6842041015625, 0.7741504311561584], [1610.357177734375, 576.8401489257812, 0.20913168787956238], [1660.7410888671875, 575.4004516601562, 0.1903141289949417], [1519.6658935546875, 670.4210815429688, 0.7851539254188538], [1594.522216796875, 647.3857421875, 0.32663267850875854], [1531.1822509765625, 787.037353515625, 0.48696398735046387], [1595.961669921875, 745.2858276367188, 0.6602248549461365]]",[],"[([291.0, 532.0, 1425.0, 924.0], 0.4420999586582184), ([849.0, 534.0, 1415.0, 938.0], 0.3114084303379059), ([297.0, 526.0, 1401.0, 695.0], 0.1120416671037674), ([374.0, 543.0, 923.0, 934.0], 0.0321755409240722), ([847.0, 535.0, 1440.0, 689.0], 0.0157019849866628)]",[],[]
videos/game_1.mp4,empty_event,181,1,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1568.244384765625, 381.2170715332031, 0.34671300649642944], [1569.6832275390625, 372.5851135253906, 0.3951575458049774], [1569.6832275390625, 371.14642333984375, 0.1938181221485138], [1575.4388427734375, 375.4624328613281, 0.5442249774932861], [1624.361083984375, 378.3397521972656, 0.42113810777664185], [1584.072265625, 420.0609436035156, 0.30674147605895996], [1656.0167236328125, 433.0089111328125, 0.3286780118942261], [1584.072265625, 484.8007507324219, 0.760794460773468], [1706.3779296875, 500.6260681152344, 0.4430544972419739], [1548.0997314453125, 548.1019287109375, 0.5842283964157104], [1738.0335693359375, 558.1725463867188, 0.7475824356079102], [1609.97216796875, 576.8751220703125, 0.21806563436985016], [1660.3333740234375, 576.8751220703125, 0.18423791229724884], [1517.8831787109375, 670.3882446289062, 0.6493533849716187], [1594.1444091796875, 645.9309692382812, 0.30715450644493103], [1532.27197265625, 786.9198608398438, 0.44038066267967224], [1595.583251953125, 745.1986083984375, 0.5965220928192139]]",[],"[([308.0, 540.0, 1424.0, 926.0], 0.450071781873703), ([856.0, 534.0, 1415.0, 938.0], 0.3171638548374176), ([310.0, 524.0, 1430.0, 709.0], 0.2451324760913849), ([373.0, 546.0, 918.0, 934.0], 0.0262763407081365), ([853.0, 536.0, 1440.0, 689.0], 0.0122153153643012)]",[],[]
videos/game_1.mp4,empty_event,181,2,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1572.4407958984375, 384.3252258300781, 0.2612828016281128], [1572.4407958984375, 375.69940185546875, 0.34274807572364807], [1573.87451171875, 375.69940185546875, 0.14126090705394745], [1578.1754150390625, 377.1370544433594, 0.5068815350532532], [1625.4857177734375, 378.5746765136719, 0.43522408604621887], [1583.91015625, 421.70379638671875, 0.34619978070259094], [1657.0260009765625, 434.642578125, 0.32045838236808777], [1583.91015625, 484.9599304199219, 0.8454214334487915], [1707.20361328125, 500.7738952636719, 0.45397067070007324], [1548.06884765625, 551.09130859375, 0.48785531520843506], [1738.743896484375, 556.841796875, 0.6557885408401489], [1608.281982421875, 579.843994140625, 0.21806146204471588], [1657.0260009765625, 579.843994140625, 0.17627987265586853], [1517.9622802734375, 668.9776000976562, 0.7255533933639526], [1595.379150390625, 644.5377197265625, 0.3240276873111725], [1530.864990234375, 783.9886474609375, 0.4123041033744812], [1595.379150390625, 745.1724243164062, 0.5364199280738831]]",[],"[([313.0, 521.0, 1113.0, 933.0], 0.4507515430450439), ([856.0, 535.0, 1416.0, 938.0], 0.3494065105915069), ([311.0, 523.0, 1433.0, 700.0], 0.2328870892524719), ([851.0, 535.0, 1441.0, 687.0], 0.0142885278910398), ([388.0, 645.0, 834.0, 921.0], 0.0105621879920363)]",[],[]
