Path,Event frame,Sequence frame,Keypoints left,Left score,Left players left hip,Left players right hip,Keypoints right,Right score,Right players left hip,Right players right hip
videos/game_1.mp4,58,-2,"[[0.11117468674977621, 0.37122279979564526, 1.2056138515472412], [0.11416683991750082, 0.35923190646701386, 2.5873148441314697], [0.10369431177775065, 0.3618965431495949, 1.6630399227142334], [0.11865506966908773, 0.35923190646701386, 0.4780352711677551], [0.08648942311604818, 0.3632288614908854, 0.980438232421875], [0.12613545258839926, 0.3938722398546007, 0.3853132128715515], [0.06928453445434571, 0.40453081484194153, 0.3129774034023285], [0.15231680870056152, 0.4298449198404948, 0.7426730990409851], [0.04235515197118123, 0.4671499181676794, 0.4215819835662842], [0.1784981409708659, 0.4671499181676794, 0.8380668759346008], [0.022158116102218628, 0.5191104465060764, 0.5475670695304871], [0.12089918454488119, 0.5217750831886574, 0.3175339102745056], [0.08424530824025472, 0.5297689932364005, 0.28551048040390015], [0.154560915629069, 0.591055749963831, 0.7061923742294312], [0.09995411237080892, 0.6203668665002894, 0.930764377117157], [0.15755306879679362, 0.6576718365704571, 0.7785588502883911], [0.0939698060353597, 0.7469373914930556, 0.6001151204109192]]",0.9998371601104736,"[0.12089918454488119, 0.5217750831886574, 0.3175339102745056]","[0.08424530824025472, 0.5297689932364005, 0.28551048040390015]","[[0.6967281341552735, 0.36572644269024884, 2.271639108657837], [0.7034604390462239, 0.35640903049045136, 2.926218032836914], [0.6967281341552735, 0.3550779837149161, 1.4080067873001099], [0.722909418741862, 0.36838856449833624, 2.0775673389434814], [0.6967281341552735, 0.35774007726598667, 0.36450502276420593], [0.7535790125528972, 0.4216310289171007, 0.28746283054351807], [0.7004683176676433, 0.4189689353660301, 0.30842912197113037], [0.7872407913208008, 0.4695492497196904, 0.7166759371757507], [0.6697987238566081, 0.4389348347981771, 0.5782390236854553], [0.802949587504069, 0.5414265385380498, 1.328368067741394], [0.6391291300455729, 0.42961739434136287, 0.3367505967617035], [0.7685398101806641, 0.5520750257703994, 0.2824374735355377], [0.7341300328572591, 0.5494129322193287, 0.29072874784469604], [0.773776117960612, 0.6692084418402777, 0.6967765688896179], [0.6922398249308268, 0.6146348741319444, 0.1711421012878418], [0.8111780166625977, 0.76504477041739, 0.4932821989059448], [0.684759521484375, 0.7078091656720197, 0.612127959728241]]",0.9996139407157898,"[0.7685398101806641, 0.5520750257703994, 0.2824374735355377]","[0.7341300328572591, 0.5494129322193287, 0.29072874784469604]"
videos/game_1.mp4,58,-1,"[[0.10821448167165121, 0.37573462592230905, 1.1002182960510254], [0.1126993735631307, 0.36240525422272857, 3.687647581100464], [0.10073966979980468, 0.36373816596137154, 1.2005829811096191], [0.11643679936726888, 0.36107231422706887, 0.5223249197006226], [0.08429505030314127, 0.36373816596137154, 0.9449326992034912], [0.12316413720448811, 0.397061609338831, 0.3993464708328247], [0.06785043080647786, 0.4050592210557726, 0.31753990054130554], [0.15306344032287597, 0.4263862044722946, 0.638510525226593], [0.043930995464324954, 0.45837667959707756, 0.33034858107566833], [0.18072028160095216, 0.4663742913140191, 0.5983335375785828], [0.02300148606300354, 0.5050294664171007, 0.40340447425842285], [0.12017420132954916, 0.5236906263563368, 0.2804670035839081], [0.08354756037394205, 0.5316882098162615, 0.26786452531814575], [0.15455840428670248, 0.5943362200701678, 0.6339002847671509], [0.098497207959493, 0.6209949634693287, 0.8655204772949219], [0.15680084228515626, 0.656984230324074, 0.8166849613189697], [0.09475980599721273, 0.7462910404911748, 0.4972631633281708]]",0.9998359680175781,"[0.12017420132954916, 0.5236906263563368, 0.2804670035839081]","[0.08354756037394205, 0.5316882098162615, 0.26786452531814575]","[[0.6975961049397786, 0.36012626930519387, 3.1047680377960205], [0.7050753911336263, 0.3521415427879051, 1.6484097242355347], [0.6983440399169922, 0.34947995786313657, 1.3947440385818481], [0.723773447672526, 0.3654494391547309, 0.9808467030525208], [0.7245213826497395, 0.36411867494936345, 0.5822589993476868], [0.755934206644694, 0.41735031693070024, 0.37368977069854736], [0.7013357162475586, 0.41735031693070024, 0.3615483343601227], [0.7873470942179362, 0.46658960978190106, 0.7767918705940247], [0.6744104385375976, 0.43731220386646413, 0.9338098168373108], [0.8030534744262695, 0.5344599971064815, 1.0514494180679321], [0.6370141347249348, 0.4293274490921586, 0.29369932413101196], [0.7701447804768881, 0.5517602991174768, 0.25971972942352295], [0.7364882151285808, 0.5477679217303241, 0.3565855622291565], [0.775380261739095, 0.666208337854456, 0.8599228262901306], [0.6938564936319987, 0.6209614506474248, 0.24017104506492615], [0.8135244369506835, 0.7713409423828125, 0.6281686425209045], [0.6841334660847982, 0.7074629041883681, 0.46210119128227234]]",0.999609649181366,"[0.7701447804768881, 0.5517602991174768, 0.25971972942352295]","[0.7364882151285808, 0.5477679217303241, 0.3565855622291565]"
videos/game_1.mp4,58,0,"[[0.10550972620646158, 0.3794574596263744, 1.6212012767791748], [0.10925201574961345, 0.3661277488425926, 1.5261504650115967], [0.09727668762207031, 0.3701266536006221, 1.0138739347457886], [0.1129943052927653, 0.36346181233723956, 0.7019683718681335], [0.08006215890248616, 0.3701266536006221, 0.7610384821891785], [0.12122734387715657, 0.39811898690682873, 0.33774954080581665], [0.06509300867716471, 0.4061167964228877, 0.31568601727485657], [0.15191410382588705, 0.4261113484700521, 0.8112657070159912], [0.04338773091634115, 0.4527706852665654, 0.25452664494514465], [0.1796070416768392, 0.4621014912923177, 0.8936746716499329], [0.01719170610109965, 0.5074223836263021, 0.24371106922626495], [0.120478884379069, 0.5247509991681134, 0.29503050446510315], [0.08230753739674886, 0.5327488086841724, 0.26775315403938293], [0.15565640131632488, 0.5940653483072916, 0.6060185432434082], [0.09727668762207031, 0.622057709870515, 0.6696693301200867], [0.15790176391601562, 0.6580478809497975, 0.8279457688331604], [0.09428285757700602, 0.7473567256221065, 0.43451282382011414]]",0.9997783303260803,"[0.120478884379069, 0.5247509991681134, 0.29503050446510315]","[0.08230753739674886, 0.5327488086841724, 0.26775315403938293]","[[0.6993532180786133, 0.3565163788972078, 1.6175849437713623], [0.7053496678670247, 0.3471853185583044, 2.358510732650757], [0.7008523305257162, 0.34451929728190106, 1.1839165687561035], [0.7248378753662109, 0.35918240017361114, 1.2039004564285278], [0.7255874633789062, 0.35918240017361114, 0.6553360223770142], [0.7563189824422201, 0.4138357374403212, 0.3892107605934143], [0.7038505554199219, 0.4138357374403212, 0.3221643567085266], [0.7900486628214518, 0.46049106739185475, 0.6729351282119751], [0.6776163101196289, 0.43649687590422453, 0.7395557761192322], [0.8042900721232097, 0.5311404758029514, 1.144124984741211], [0.6423875172932942, 0.43516387939453127, 0.978420078754425], [0.7698108037312825, 0.5484695999710648, 0.2722522020339966], [0.7353315989176432, 0.5471366034613715, 0.383773535490036], [0.7780558268229166, 0.6657743665907118, 0.8596688508987427], [0.6963550567626953, 0.6191190931532118, 0.254040390253067], [0.8132846832275391, 0.7697490550853588, 0.6805528998374939], [0.6843622207641602, 0.7070977105034723, 0.47365424036979675]]",0.9997175335884094,"[0.7698108037312825, 0.5484695999710648, 0.2722522020339966]","[0.7353315989176432, 0.5471366034613715, 0.383773535490036]"
videos/game_1.mp4,58,1,"[[0.10125439167022705, 0.3822771990740741, 1.3264555931091309], [0.10649021466573079, 0.36764594184027777, 1.340123176574707], [0.09377462863922119, 0.3716362847222222, 1.5378048419952393], [0.11097806294759115, 0.3663158558033131, 0.5718362927436829], [0.07657118638356526, 0.3729663990162037, 0.9059896469116211], [0.11845782597859701, 0.39557834201388886, 0.30272963643074036], [0.06609953244527181, 0.4035590560347946, 0.320200651884079], [0.1521167278289795, 0.4221806844075521, 0.5301722288131714], [0.04814811944961548, 0.43814202767831306, 0.2853848338127136], [0.1797918160756429, 0.4580937703450521, 0.52878737449646], [0.034684558709462486, 0.46740457040292244, 0.32148876786231995], [0.12070175011952718, 0.5272597136320891, 0.28192198276519775], [0.08255499998728434, 0.535240399395978, 0.24939003586769104], [0.15585659344991049, 0.5937654848451968, 0.6198632717132568], [0.09676653544108073, 0.6243581136067708, 0.7719109058380127], [0.15810052553812662, 0.6562808566623264, 0.6248189210891724], [0.09377462863922119, 0.7480587994610822, 0.5574246048927307]]",0.9997360110282898,"[0.12070175011952718, 0.5272597136320891, 0.28192198276519775]","[0.08255499998728434, 0.535240399395978, 0.24939003586769104]","[[0.700778071085612, 0.353504972104673, 2.283778190612793], [0.7082620620727539, 0.3455175611707899, 3.131757974624634], [0.7015264511108399, 0.34285507202148435, 1.0511122941970825], [0.7269721349080404, 0.356167404739945, 2.607067823410034], [0.7277205149332683, 0.356167404739945, 0.6812587976455688], [0.7576566060384115, 0.4067543312355324, 0.30280086398124695], [0.7037716547648112, 0.4080855758101852, 0.35441896319389343], [0.7913346608479818, 0.4533475522641782, 0.9154999852180481], [0.6798227945963542, 0.4413664358633536, 0.6583213210105896], [0.8033091227213541, 0.5278966833043981, 1.0755281448364258], [0.6461447397867839, 0.43604151407877606, 0.5038642287254333], [0.7688826243082683, 0.5478651823820891, 0.26829758286476135], [0.7352045059204102, 0.5478651823820891, 0.35990023612976074], [0.7793602625528971, 0.6650138007269966, 0.8975124359130859], [0.6970360438028972, 0.619751880787037, 0.22931359708309174], [0.8137866973876953, 0.767518898292824, 0.7047529220581055], [0.6843132019042969, 0.7062820999710648, 0.4398898482322693]]",0.9997431635856628,"[0.7688826243082683, 0.5478651823820891, 0.26829758286476135]","[0.7352045059204102, 0.5478651823820891, 0.35990023612976074]"
videos/game_1.mp4,58,2,"[[0.09828096230824789, 0.3846349080403646, 1.456720232963562], [0.1027809460957845, 0.37132130375614875, 1.5890042781829834], [0.09078099727630615, 0.37531537656430847, 1.2829262018203735], [0.1065309206644694, 0.36998991789641206, 0.44395363330841064], [0.07353107929229737, 0.3766467341670284, 0.7693684697151184], [0.11478088696797689, 0.39661712646484376, 0.3374388515949249], [0.06003114382425944, 0.4125934459544994, 0.28447678685188293], [0.15078072547912597, 0.4232443067762587, 0.5699396133422852], [0.0390312393506368, 0.45519694575557, 0.1544809341430664], [0.18378057479858398, 0.4578596892180266, 0.5234007239341736], [0.015031346678733825, 0.49513775860821757, 0.10738176107406616], [0.11928087075551351, 0.5284217551902488, 0.2741890251636505], [0.08103104432423909, 0.5364099573206018, 0.2511668801307678], [0.15603070259094237, 0.5963211059570312, 0.5313980579376221], [0.09528098106384278, 0.6256110297309028, 0.690570592880249], [0.15753068923950195, 0.6535695959020544, 0.6628407835960388], [0.09453098773956299, 0.7480961552372685, 0.49841177463531494]]",0.999535322189331,"[0.11928087075551351, 0.5284217551902488, 0.2741890251636505]","[0.08103104432423909, 0.5364099573206018, 0.2511668801307678]","[[0.7019193013509114, 0.34896647135416664, 1.9654204845428467], [0.7086512247721354, 0.33964532922815394, 1.88341224193573], [0.7034152984619141, 0.3383137455692998, 1.610673189163208], [0.7295949300130208, 0.35029805501302086, 1.6141877174377441], [0.7295949300130208, 0.35029805501302086, 0.4701939523220062], [0.7587664922078451, 0.4062249077690972, 0.27933362126350403], [0.7041632970174153, 0.4062249077690972, 0.4041210412979126], [0.7924260457356771, 0.4488358674225984, 0.600496768951416], [0.6817235946655273, 0.44617267184787324, 0.6760769486427307], [0.8043938954671224, 0.5234049479166667, 0.9783723950386047], [0.6488120396931966, 0.4381831133807147, 0.46266910433769226], [0.769986343383789, 0.5460420396592882, 0.2531799077987671], [0.7363268534342448, 0.544710456000434, 0.37561070919036865], [0.7812061945597331, 0.6632221363208912, 0.8359495997428894], [0.6966833750406901, 0.6246059276439525, 0.17362844944000244], [0.8141177495320638, 0.7630914758752894, 0.5893110632896423], [0.6832195917765299, 0.7098278469509549, 0.3904188573360443]]",0.9996728897094727,"[0.769986343383789, 0.5460420396592882, 0.2531799077987671]","[0.7363268534342448, 0.544710456000434, 0.37561070919036865]"
videos/game_1.mp4,2185,-2,"[[0.22015430132548014, 0.3352470115379051, 0.743492841720581], [0.22315247853597006, 0.3245955855758102, 0.9860563278198242], [0.21490753491719564, 0.32326414320203994, 2.020434856414795], [0.22315247853597006, 0.3312527126736111, 0.14172255992889404], [0.19766807556152344, 0.3245955855758102, 1.3135086297988892], [0.21490753491719564, 0.37385841652199076, 0.22794848680496216], [0.17143413225809734, 0.37119553177445025, 0.15770293772220612], [0.21340843836466472, 0.44841831348560474, 0.035652823746204376], [0.15794239044189454, 0.44442404287832754, 0.30406731367111206], [0.2224029541015625, 0.4537440264666522, 0.0687393993139267], [0.1916717529296875, 0.4244526615849248, 0.24761120975017548], [0.1961690107981364, 0.4936868738245081, 0.14675810933113098], [0.16318917274475098, 0.49501828794126157, 0.1504729688167572], [0.23364605903625488, 0.5788982250072338, 0.07866373658180237], [0.16393872896830242, 0.5855553521050347, 0.27552229166030884], [0.22914881706237794, 0.6987267388237848, 0.05130833387374878], [0.13770476977030435, 0.7013895105432582, 0.2825108468532562]]",0.9995757937431335,"[0.1961690107981364, 0.4936868738245081, 0.14675810933113098]","[0.16318917274475098, 0.49501828794126157, 0.1504729688167572]","[[0.7614903767903646, 0.3608857896592882, 0.32978424429893494], [0.7614903767903646, 0.35688665884512444, 0.49848368763923645], [0.8027315139770508, 0.35821971186885126, 0.21788635849952698], [0.7637399037679037, 0.35955273663556137, 0.7800681591033936], [0.8004820505777995, 0.3608857896592882, 0.5804615020751953], [0.7464935938517253, 0.41554079408998845, 0.38307273387908936], [0.8244768778483073, 0.4035433451334635, 0.4070279598236084], [0.6827572504679362, 0.41420774106626157, 0.4667479395866394], [0.8799650192260742, 0.4342034799081308, 0.36531543731689453], [0.6700099309285482, 0.3808815285011574, 0.558302104473114], [0.8402235031127929, 0.4901915373625579, 0.2563910186290741], [0.7607405344645183, 0.6168311790183738, 0.1893637329339981], [0.8064807256062826, 0.624829497160735, 0.1815183460712433], [0.7449939092000325, 0.71947592276114, 1.3106087446212769], [0.7862351099650066, 0.7821292453342014, 0.6283600330352783], [0.7269977569580078, 0.8541139390733506, 0.4748082458972931], [0.7494929631551107, 0.9194333111798322, 0.5771022439002991]]",0.9992868304252625,"[0.7607405344645183, 0.6168311790183738, 0.1893637329339981]","[0.8064807256062826, 0.624829497160735, 0.1815183460712433]"
videos/game_1.mp4,2185,-1,"[[0.2201157569885254, 0.3339948300962095, 0.8273425102233887], [0.2230985164642334, 0.3246777852376302, 1.1861541271209717], [0.21489590009053547, 0.32334679497612845, 1.994775414466858], [0.2230985164642334, 0.3300018027976707, 0.13974343240261078], [0.1969993273417155, 0.32334679497612845, 1.2855473756790161], [0.21489590009053547, 0.37392490528247974, 0.19783377647399902], [0.17090015411376952, 0.37126292475947625, 0.15377873182296753], [0.2126588503519694, 0.44846112286603007, 0.037557099014520645], [0.1574777126312256, 0.4431371053059896, 0.3226126730442047], [0.22235280672709148, 0.4551161589445891, 0.08968387544155121], [0.1910338083902995, 0.42317205358434606, 0.30840766429901123], [0.1955079396565755, 0.4897221883138021, 0.15005148947238922], [0.16269755363464355, 0.4910532068323206, 0.13950879871845245], [0.2335381825764974, 0.5802304303204572, 0.08490820974111557], [0.16344324747721353, 0.5868854663990162, 0.2780706584453583], [0.22906401952107747, 0.7000206841362847, 0.04296651855111122], [0.13734405835469563, 0.7026827211733218, 0.2836427688598633]]",0.9995958209037781,"[0.1955079396565755, 0.4897221883138021, 0.15005148947238922]","[0.16269755363464355, 0.4910532068323206, 0.13950879871845245]","[[0.7560637791951498, 0.37020851417824074, 0.510077714920044], [0.7575600941975912, 0.3608896326135706, 0.5199024677276611], [0.7620491663614909, 0.3688772130895544, 0.20670348405838013], [0.7613010406494141, 0.36754594025788484, 0.6562124490737915], [0.7972137451171875, 0.3688772130895544, 0.5547182559967041], [0.7493301391601562, 0.4168027807165075, 0.449964314699173], [0.8241483052571614, 0.4034901371708623, 0.4158318340778351], [0.6819938023885092, 0.4168027807165075, 0.6621631383895874], [0.8720319112141927, 0.43810303299515335, 0.45557767152786255], [0.6700229008992513, 0.37420227615921586, 0.48648330569267273], [0.8353710174560547, 0.4966787267614294, 0.32192322611808777], [0.7620491663614909, 0.6218177512839989, 0.1978268027305603], [0.808436393737793, 0.6298053317599827, 0.18234795331954956], [0.7463373819986979, 0.7216626202618635, 1.0382874011993408], [0.7874874114990235, 0.7829008879484953, 0.7033067941665649], [0.7298774083455404, 0.8534580371997974, 0.6331771612167358], [0.7500782648722331, 0.9200212831850405, 0.5278084874153137]]",0.9996484518051147,"[0.7620491663614909, 0.6218177512839989, 0.1978268027305603]","[0.808436393737793, 0.6298053317599827, 0.18234795331954956]"
videos/game_1.mp4,2185,0,"[[0.21977059046427408, 0.3344773186577691, 0.7022339701652527], [0.22276164690653483, 0.3238321374963831, 1.2463831901550293], [0.215283997853597, 0.3238321374963831, 2.0271716117858887], [0.22350940704345704, 0.3291547139485677, 0.15409907698631287], [0.19658981959025065, 0.3238321374963831, 1.244914174079895], [0.2137884457906087, 0.3730659767433449, 0.20449872314929962], [0.16967021624247233, 0.37173532556604455, 0.17581796646118164], [0.2137884457906087, 0.44891269825122976, 0.042453475296497345], [0.15770595868428547, 0.44359009354202833, 0.32537558674812317], [0.22201388676961262, 0.45423527470341435, 0.09232547134160995], [0.19135545094807943, 0.42363046716760705, 0.27728310227394104], [0.19584205945332844, 0.49282396104600695, 0.1505671888589859], [0.1621925671895345, 0.49415458396629053, 0.15108133852481842], [0.23397816022237142, 0.5793158072012442, 0.07337413728237152], [0.1636880874633789, 0.5859690348307292, 0.28259697556495667], [0.22949153582255047, 0.6990737349898727, 0.050551727414131165], [0.13751627604166666, 0.7017350373444734, 0.2791178226470947]]",0.9995285272598267,"[0.19584205945332844, 0.49282396104600695, 0.1505671888589859]","[0.1621925671895345, 0.49415458396629053, 0.15108133852481842]","[[0.7534564971923828, 0.3777038856788918, 0.36934539675712585], [0.7557003657023112, 0.36971574006257235, 0.5389857292175293], [0.7594402313232422, 0.37104712592230904, 0.19452683627605438], [0.7571962992350261, 0.37104712592230904, 0.9153457283973694], [0.7938465118408203, 0.36971574006257235, 0.758091390132904], [0.7512126286824544, 0.41764441596137153, 0.44279852509498596], [0.8222691218058268, 0.404330896448206, 0.4427541494369507], [0.6831480026245117, 0.4163130866156684, 0.8061708807945251], [0.8708866755167644, 0.4389460528338397, 1.259381651878357], [0.6711805979410808, 0.37370981287073207, 0.48260581493377686], [0.8297487258911133, 0.4948628743489583, 0.2861446738243103], [0.7646759668986003, 0.6240039966724537, 0.19013677537441254], [0.8095537185668945, 0.6373175161856192, 0.1975976824760437], [0.7482207616170248, 0.7185299908673322, 1.073795199394226], [0.7886107762654623, 0.7864288895218461, 0.6230837106704712], [0.7310176213582357, 0.8556592022931134, 0.6004867553710938], [0.748968760172526, 0.9169014259620949, 0.6247691512107849]]",0.9996132254600525,"[0.7646759668986003, 0.6240039966724537, 0.19013677537441254]","[0.8095537185668945, 0.6373175161856192, 0.1975976824760437]"
videos/game_1.mp4,2185,1,"[[0.21989189783732097, 0.3359686109754774, 0.927176296710968], [0.22213829358418782, 0.32530480844003185, 0.7440512776374817], [0.21465039253234863, 0.32130584716796873, 1.4086204767227173], [0.22288707097371419, 0.32930371319806134, 0.14104598760604858], [0.19667940139770507, 0.32263884367766205, 0.9248268008232117], [0.21390156745910643, 0.37195895159686054, 0.2023855596780777], [0.17122050921122234, 0.3692930150915075, 0.17927734553813934], [0.21240399678548177, 0.4479386223687066, 0.045654311776161194], [0.156244691212972, 0.4439397176106771, 0.31949636340141296], [0.2213894844055176, 0.4519375553837529, 0.05258876457810402], [0.18994027773539227, 0.4252780207881221, 0.2598675787448883], [0.19518181482950847, 0.4919268572771991, 0.14367444813251495], [0.16223502159118652, 0.49325985378689235, 0.14918477833271027], [0.23337014516194662, 0.5799032705801505, 0.07577970623970032], [0.1637325922648112, 0.5865681401005498, 0.2860020697116852], [0.22887738545735678, 0.6998711480034723, 0.045548368245363235], [0.1375249226888021, 0.7025371410228588, 0.2801353931427002]]",0.9995371103286743,"[0.19518181482950847, 0.4919268572771991, 0.14367444813251495]","[0.16223502159118652, 0.49325985378689235, 0.14918477833271027]","[[0.7516869227091472, 0.37825681898328994, 0.5319209098815918], [0.7524349212646484, 0.3729318689416956, 0.6423105597496033], [0.7531830469767252, 0.3742631135163484, 0.26702356338500977], [0.7569233576456705, 0.3755943298339844, 1.0163558721542358], [0.7928304672241211, 0.3742631135163484, 0.7251039147377014], [0.7501907348632812, 0.4208563345449942, 0.46681565046310425], [0.8220048904418945, 0.40754397356951677, 0.37987959384918213], [0.6821168899536133, 0.41686265733506944, 0.5091329216957092], [0.869132932027181, 0.44348732277199077, 1.214856743812561], [0.6723920822143554, 0.3755943298339844, 0.5133403539657593], [0.8287375132242839, 0.48741805465133103, 0.3248949646949768], [0.7659001032511393, 0.6258665296766494, 0.16618195176124573], [0.8122801462809245, 0.6378476178204572, 0.1625085175037384], [0.7486946105957031, 0.7270403826678241, 0.8403213620185852], [0.7890901565551758, 0.7882772375036169, 0.632271945476532], [0.7322372436523438, 0.8601638793945312, 0.6053842306137085], [0.7494427363077799, 0.9187382450810185, 0.5651977062225342]]",0.9995741248130798,"[0.7659001032511393, 0.6258665296766494, 0.16618195176124573]","[0.8122801462809245, 0.6378476178204572, 0.1625085175037384]"
videos/game_1.mp4,2185,2,"[[0.2200470765431722, 0.3343263414171007, 0.8787801861763], [0.2222861607869466, 0.32236079463252315, 0.8208523392677307], [0.21482253074645996, 0.3210312737358941, 1.5293872356414795], [0.2222861607869466, 0.3276788217050058, 0.13453088700771332], [0.19690977732340495, 0.3210312737358941, 1.202305793762207], [0.21407615343729655, 0.3715525874385127, 0.21089614927768707], [0.17078701655069986, 0.3688935739022714, 0.18321171402931213], [0.21407615343729655, 0.4486640082465278, 0.0444234237074852], [0.15585974057515461, 0.44334595291702833, 0.3295101225376129], [0.2200470765431722, 0.4486640082465278, 0.043823517858982086], [0.18944614728291828, 0.4260623508029514, 0.2633737325668335], [0.19467069307963053, 0.48854923954716434, 0.14147993922233582], [0.16183064778645834, 0.49253771746600117, 0.14914213120937347], [0.23273528416951497, 0.5829442342122396, 0.08660297840833664], [0.16332338651021322, 0.5842737268518519, 0.2748066186904907], [0.22900344530741373, 0.6986113371672453, 0.049250248819589615], [0.1379469871520996, 0.7012703789605035, 0.2670568525791168]]",0.9995249509811401,"[0.19467069307963053, 0.48854923954716434, 0.14147993922233582]","[0.16183064778645834, 0.49253771746600117, 0.14914213120937347]","[[0.7505114237467448, 0.38375860143590856, 0.6507895588874817], [0.7512608210245768, 0.37444353456850404, 0.5283094644546509], [0.7512608210245768, 0.37444353456850404, 0.2984362244606018], [0.7565069198608398, 0.38109712953920716, 0.7297785878181458], [0.7909807840983073, 0.37444353456850404, 0.5315018892288208], [0.7512608210245768, 0.4210188971625434, 0.3417375981807709], [0.8202086130777995, 0.4077116507071036, 0.4177156388759613], [0.6845613479614258, 0.4156959816261574, 0.48660409450531006], [0.866673469543457, 0.44364121048538774, 0.8032867908477783], [0.6733198801676432, 0.37444353456850404, 0.3983539640903473], [0.8247052510579427, 0.4875551011827257, 0.20894281566143036], [0.7677483240763346, 0.6299426608615452, 0.1816132366657257], [0.814962641398112, 0.636596284089265, 0.17196975648403168], [0.7482631047566731, 0.7284162168149595, 0.8176829814910889], [0.7909807840983073, 0.7882988823784722, 0.5351749062538147], [0.7325250625610351, 0.8681423045970775, 0.6648591160774231], [0.7520102818806966, 0.9147176671911169, 0.6025205254554749]]",0.9995182752609253,"[0.7677483240763346, 0.6299426608615452, 0.1816132366657257]","[0.814962641398112, 0.636596284089265, 0.17196975648403168]"
